project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VisitAssignmentRepository.java,org.springframework.samples.petclinic.vet.internal,VisitAssignmentRepository,interface,other,41,11,0,0,3,0,3,False,False,,
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/ModularityTests.java,org.springframework.samples.petclinic,ModularityTests,class,test,25,15,2,0,3,0,3,False,False,,Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,org.springframework.samples.petclinic,MySqlIntegrationTests,class,test,74,48,2,0,20,1,19,False,False,,SpringBootTest|ActiveProfiles|Testcontainers|DisabledInNativeImage|DisabledInAotMode|ServiceConnection|Container|LocalServerPort|Autowired|Autowired|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java,org.springframework.samples.petclinic,MysqlTestApplication,class,test,47,21,2,1,7,0,7,True,True,main-method|application-class,Configuration|ServiceConnection|Profile|Bean
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/application/VisitSchedulerTests.java,org.springframework.samples.petclinic.owner.application,VisitSchedulerTests,class,test,63,29,1,0,10,5,5,False,False,,ApplicationModuleTest|Autowired|Autowired|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/domain/ClinicServiceTests.java,org.springframework.samples.petclinic.owner.domain,ClinicServiceTests,class,test,231,148,9,0,13,0,13,False,False,,DataJpaTest|DisabledInAotMode|AutoConfigureTestDatabase|Autowired|Autowired|Test|Test|Test|Transactional|Test|Transactional|Test|Test|Transactional|Test|Transactional|Test|Transactional|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.ui,OwnerControllerTests,class,test,252,200,15,1,31,1,30,False,False,,WebMvcTest|DisabledInNativeImage|DisabledInAotMode|Autowired|MockitoBean|BeforeEach|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/PetControllerTests.java,org.springframework.samples.petclinic.owner.ui,PetControllerTests,class,test,212,163,11,0,21,1,20,False,False,,WebMvcTest|DisabledInNativeImage|DisabledInAotMode|Autowired|MockitoBean|MockitoBean|BeforeEach|Test|Test|Nested|Test|Test|Test|Test|Test|Test|Nested|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.ui,PetTypeFormatterTests,class,test,99,62,5,0,16,2,14,False,False,,ExtendWith|DisabledInNativeImage|Mock|BeforeEach|Test|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/PetValidatorTests.java,org.springframework.samples.petclinic.owner.ui,PetValidatorTests,class,test,119,71,5,0,14,2,12,False,False,,ExtendWith|DisabledInNativeImage|BeforeEach|Test|Nested|Test|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/ValidatorTests.java,org.springframework.samples.petclinic.owner.ui,ValidatorTests,class,test,64,33,2,0,9,1,8,False,False,,Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/owner/ui/VisitControllerTests.java,org.springframework.samples.petclinic.owner.ui,VisitControllerTests,class,test,101,65,4,0,19,4,15,False,False,,WebMvcTest|DisabledInNativeImage|DisabledInAotMode|Autowired|MockitoBean|MockitoBean|BeforeEach|Test|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic,PetClinicIntegrationTests,class,test,70,43,3,1,13,1,12,True,True,main-method,SpringBootTest|LocalServerPort|Autowired|Autowired|Test|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic,PostgresIntegrationTests,class,test,150,109,5,1,29,1,28,True,True,main-method,SpringBootTest|ActiveProfiles|DisabledInNativeImage|LocalServerPort|Autowired|Autowired|BeforeAll|Test|Test|Override
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/system/internal/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.internal,CrashControllerIntegrationTests,class,test,97,64,1,0,23,0,23,False,False,,ApplicationModuleTest|TestPropertySource|AutoConfigureTestRestTemplate|Value|Autowired|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/system/internal/CrashControllerTests.java,org.springframework.samples.petclinic.system.internal,CrashControllerTests,class,test,41,11,1,0,2,0,2,False,False,,Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/system/internal/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.internal,I18nPropertiesSyncTest,class,test,136,99,1,1,12,0,12,False,False,,Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/vet/internal/VetAssignmentTests.java,org.springframework.samples.petclinic.vet.internal,VetAssignmentTests,class,test,51,26,1,0,7,1,6,False,False,,ApplicationModuleTest|Autowired|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/vet/internal/VetControllerTests.java,org.springframework.samples.petclinic.vet.internal,VetControllerTests,class,test,107,71,5,0,19,0,19,False,False,,WebMvcTest|DisabledInNativeImage|DisabledInAotMode|Autowired|MockitoBean|MockitoBean|BeforeEach|Test|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/vet/internal/VetRepositoryTests.java,org.springframework.samples.petclinic.vet.internal,VetRepositoryTests,class,test,35,24,1,0,7,0,7,False,False,,DataJpaTest|DisabledInAotMode|AutoConfigureTestDatabase|Autowired|Test
pet-clinic,spring-petclinic-modulith,test,systems/pet-clinic/spring-petclinic-modulith/src/test/java,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/vet/internal/VetTests.java,org.springframework.samples.petclinic.vet.internal,VetTests,class,test,41,18,1,0,3,0,3,False,False,,Test|SuppressWarnings
